2025-01-17 21:39:53 [INFO]: Access: GET /trips | IP: ::ffff:127.0.0.1
2025-01-17 23:07:57 [INFO]: Access: GET /trip/15 | IP: ::ffff:127.0.0.1
2025-01-18 00:25:09 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:13 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:13 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:17 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:17 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:21 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:21 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:25 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:25 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:29 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:29 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:33 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:33 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:37 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:37 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:41 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:41 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:45 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:45 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
2025-01-18 00:25:49 [INFO]: Access: POST /api/flutter_logs | IP: ::ffff:192.168.178.202
